medcodeid,term,snomedctconceptid,renal
5120211000006116,intermittent peritoneal dialysis,238321006,1
5120221000006112,ipd - intermittent peritoneal dialysis,238321006,1
5120231000006110,tidal peritoneal dialysis,238322004,1
5120241000006117,"pd - peritoneal dialysis, tidal",238322004,1
5120251000006115,night-time intermittent peritoneal dialysis,238323009,1
5120261000006118,"ipd - intermittent peritoneal dialysis, night-time",238323009,1
5120271000006113,nipd - night-time intermittent peritoneal dialysis,238323009,1
5157591000006112,renal transplant arteriogram,241249008,1
5157601000006116,renal transplant venogram,241250008,1
5157611000006118,renal transplant venous sampling,241251007,1
5161281000006112,us scan of transplant kidney,241484009,1
5161291000006110,ultrasound scan of transplant kidney,241484009,1
5191451000006118,blood sampling from haemodialysis circuit,243777005,1
5191461000006116,blood sampling from hemodialysis circuit,243777005,1
5191471000006111,arterial port blood sampling during haemodialysis,243778000,1
5191481000006114,arterial port blood sampling during hemodialysis,243778000,1
5191491000006112,venous port blood sampling during haemodialysis,243779008,1
5191501000006116,venous port blood sampling during hemodialysis,243779008,1
5307121000006117,peritoneal dialysis observable,251860000,1
5307221000006110,adequacy of peritoneal dialysis,251867002,1
5307241000006115,adequacy of haemodialysis,251869004,1
5307251000006118,adequacy of hemodialysis,251869004,1
5445811000006110,haemodialysis circuit,261818002,1
5445821000006119,hemodialysis circuit,261818002,1
5465901000006114,peritoneal dialysis used,263529000,1
5467031000006112,type of haemodialysis,263636009,1
5467041000006119,type of hemodialysis,263636009,1
5486891000006118,removal of transplanted kidney,265550007,1
5488801000006112,kidney dialysis,265764009,1
5488811000006110,artificial kidney dialysis,265764009,1
5524381000006119,chronic ambulatory peritoneal dialysis catheter procedure,271418008,1
554481000006111,chronic glomerulonephritis + diseases ec,197616000,1
555191000006119,membranoproliferative glomerulonephritis,80321008,1
555201000006116,chronic membranous glomerulonephritis,77182004,1
556211000006112,chronic proliferative glomerulonephritis,197613008,1
557811000000119,chronic kidney disease stage 3a,700378005,1
557831000000110,chronic kidney disease stage 3b,700379002,1
5592051000006113,peritonitis secondary to peritoneal dialysis,276883000,1
5593651000006110,pre-existing disease in renal transplant,277011002,1
5618941000006116,haemodialysis diet,278904002,1
5618951000006119,hemodialysis diet,278904002,1
5618971000006112,continuous ambulatory peritoneal dialysis (capd) diet,278905001,1
5618981000006110,continuous ambulatory peritoneal dialysis diet,278905001,1
5647611000006119,entire transplanted kidney,281112005,1
5647621000006110,entire transplant kidney,281112005,1
5786751000006114,haemodialysis fluid adverse reaction,292762005,1
5786761000006111,hemodialysis fluid adverse reaction,292762005,1
5805411000006114,haemodialysis fluid allergy,294301003,1
5805421000006118,hemodialysis fluid allergy,294301003,1
585761000006118,nonobstructive reflux-associated chronic pyelonephritis,197764002,1
5907531000006119,hemodialysis procedure,302497006,1
5907541000006112,hd - hemodialysis,302497006,1
5907551000006114,hd - haemodialysis,302497006,1
5907561000006111,haemodialysis procedure,302497006,1
5907571000006116,extracorporeal hemodialysis,302497006,1
5907581000006118,extracorporeal haemodialysis,302497006,1
5907591000006115,hemodialysis,302497006,1
595811000000117,chronic kidney disease stage 3 with proteinuria,324251000000105,1
595871000000110,chronic kidney disease stage 3 without proteinuria,324281000000104,1
595931000000116,chronic kidney disease stage 3a with proteinuria,324311000000101,1
595991000000115,chronic kidney disease stage 3a without proteinuria,324341000000100,1
596051000000115,chronic kidney disease stage 3b with proteinuria,324371000000106,1
596131000000114,chronic kidney disease stage 3b without proteinuria,324411000000105,1
596191000000110,chronic kidney disease stage 4 with proteinuria,324441000000106,1
596261000000111,chronic kidney disease stage 4 without proteinuria,324471000000100,1
596321000000110,chronic kidney disease stage 5 with proteinuria,324501000000107,1
596401000000111,chronic kidney disease stage 5 without proteinuria,324541000000105,1
6000561000006119,care of haemodialysis equipment,310489004,1
6000571000006114,care of hemodialysis equipment,310489004,1
618431000000114,ckd stage 3 with proteinuria,324251000000105,1
618441000000117,ckd stage 3 without proteinuria,324281000000104,1
618451000000119,ckd stage 3a with proteinuria,324311000000101,1
618461000000116,ckd stage 3a without proteinuria,324341000000100,1
618471000000111,ckd stage 3b with proteinuria,324371000000106,1
618481000000113,ckd stage 3b without proteinuria,324411000000105,1
618491000000110,ckd stage 4 with proteinuria,324441000000106,1
618501000000116,ckd stage 4 without proteinuria,324471000000100,1
618511000000119,ckd stage 5 with proteinuria,324501000000107,1
618521000000113,ckd stage 5 without proteinuria,324541000000105,1
619541000006116,dialysis for renal failure,265764009,1
