code,coding_system,description,entity,list_name,upload_date
E13y100,Read,Brief reactive psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E13yz00,Read,Other reactive psychoses NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E141.00,Read,Disintegrative psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
E141100,Read,Residual disintegrative psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E141.11,Read,Heller's syndrome,diagnostic,929 - res178: Psychosis,2021-03-14
E14y.00,Read,Other childhood psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E14y000,Read,Atypical childhood psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E14y100,Read,Borderline psychosis of childhood,diagnostic,929 - res178: Psychosis,2021-03-14
E14yz00,Read,Other childhood psychoses NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E14z.00,Read,Child psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E14z.11,Read,Childhood schizophrenia NOS,diagnostic,929 - res178: Psychosis,2021-03-14
E1y..00,Read,Other specified non-organic psychoses,diagnostic,929 - res178: Psychosis,2021-03-14
E1z..00,Read,Non-organic psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04.00,Read,[X]Delirium; not induced by alcohol+other psychoactive subs,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04000,Read,[X]Delirium not superimposed on dementia; so described,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04100,Read,[X]Delirium superimposed on dementia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04.11,Read,[X]Acute / subacute brain syndrome,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04.12,Read,[X]Acute / subacute confusional state; nonalcoholic,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04.13,Read,[X]Acute / subacute infective psychosis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04.14,Read,[X]Acute / subacute organic reaction,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04.15,Read,[X]Acute / subacute psycho-organic reaction,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04y00,Read,[X]Other delirium,diagnostic,929 - res178: Psychosis,2021-03-14
Eu04z00,Read,[X]Delirium; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
Eu05000,Read,[X]Organic hallucinosis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu05200,Read,[X]Organic delusional [schizophrenia-like] disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10400,Read,[X]Men & behav dis due alcohl: withdrawl state with delirium,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10411,Read,[X]Delirium tremens; alcohol induced,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10500,Read,[X]Mental & behav dis due to use alcohol: psychotic disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10511,Read,[X]Alcoholic hallucinosis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10512,Read,[X]Alcoholic jealousy,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10513,Read,[X]Alcoholic paranoia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10514,Read,[X]Alcoholic psychosis NOS,diagnostic,929 - res178: Psychosis,2021-03-14
Eu10700,Read,[X]Men & behav dis due alcoh: resid & late-onset psychot dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu11400,Read,[X]Men & behav dis due opioid: withdrawl state with delirium,diagnostic,929 - res178: Psychosis,2021-03-14
Eu11500,Read,[X]Mental & behav dis due to use opioids: psychotic disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu11700,Read,[X]Men & beh dis due opioids: resid & late-onset psychot dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu12500,Read,[X]Mental & behav dis due to cannabinoids: psychotic disordr,diagnostic,929 - res178: Psychosis,2021-03-14
Eu12700,Read,[X]Mnt/bh dis due cannabinds: resid & late-onset psychot dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu13400,Read,[X]Men & beh dis due seds/hypns: withdrwl state wth delirium,diagnostic,929 - res178: Psychosis,2021-03-14
Eu13500,Read,[X]Mental & behav dis due to seds/hypntcs: psychotic disordr,diagnostic,929 - res178: Psychosis,2021-03-14
Eu14500,Read,[X]Mental & behav dis due to use cocaine: psychotic disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu14700,Read,[X]Men & beh dis due cocaine: resid & late-onset psychot dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu15500,Read,[X]Mental/behav dis oth stims inc caffeine: psychotic dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu15700,Read,[X]Mnt/bh dis oth stm inc caffne resid/late-onset psycht dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu16500,Read,[X]Mental & behav dis due to hallucinogens: psychotic disord,diagnostic,929 - res178: Psychosis,2021-03-14
Eu16711,Read,[X]Post hallucinogen perception disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu18400,Read,[X]Men & beh dis vol solvents: withdrawal state wth delirium,diagnostic,929 - res178: Psychosis,2021-03-14
Eu18500,Read,[X]Mental & behav dis due to vol solvents: psychotic disordr,diagnostic,929 - res178: Psychosis,2021-03-14
Eu19400,Read,[X]Mnt/bh dis mlti drg use/oth psy sbs: wthdr state + dlrium,diagnostic,929 - res178: Psychosis,2021-03-14
Eu19500,Read,[X]Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu19700,Read,[X]Men/beh dis mlt drg use/oth subs: resid/late psychot dis,diagnostic,929 - res178: Psychosis,2021-03-14
Eu1A500,Read,[X]Mental behav disord due crack cocaine: psychotic disorder,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20.00,Read,[X]Schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20000,Read,[X]Paranoid schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20011,Read,[X]Paraphrenic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20100,Read,[X]Hebephrenic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20111,Read,[X]Disorganised schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20200,Read,[X]Catatonic schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20211,Read,[X]Catatonic stupor,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20212,Read,[X]Schizophrenic catalepsy,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20213,Read,[X]Schizophrenic catatonia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20214,Read,[X]Schizophrenic flexibilatis cerea,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20300,Read,[X]Undifferentiated schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20311,Read,[X]Atypical schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20400,Read,[X]Post-schizophrenic depression,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20500,Read,[X]Residual schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20511,Read,[X]Chronic undifferentiated schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20600,Read,[X]Simple schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20y00,Read,[X]Other schizophrenia,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20y12,Read,[X]Schizophreniform disord NOS,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20y13,Read,[X]Schizophrenifrm psychos NOS,diagnostic,929 - res178: Psychosis,2021-03-14
Eu20z00,Read,[X]Schizophrenia; unspecified,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23.00,Read,[X]Acute and transient psychotic disorders,diagnostic,929 - res178: Psychosis,2021-03-14
Eu23000,Read,[X]Acute polymorphic psychot disord without symp of schizoph,diagnostic,929 - res178: Psychosis,2021-03-14
