code,coding_system,description,entity,list_name,upload_date
54826,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
54827,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
54933,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
55023,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
55033,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
55146,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
55424,CPRD_product_code,Venlafaxine Hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
55488,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
55501,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
55537,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
56009,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
56292,CPRD_product_code,Citalopram hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
56355,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
56457,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
56662,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
5710,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
57532,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
57751,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
57936,CPRD_product_code,Citalopram hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
58476,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
58664,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
58681,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
58723,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
58726,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
58837,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59035,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59193,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59288,CPRD_product_code,Paroxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59358,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59563,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59600,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59650,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59753,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
59923,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60138,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
603,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60449,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60534,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60549,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60568,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60619,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60839,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60843,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60888,CPRD_product_code,Citalopram hydrobromide,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60895,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
60962,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
61236,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
61335,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
61503,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62155,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
6218,CPRD_product_code,Escitalopram oxalate,drug,942 - res178: SSRIs and SNRIs,2021-03-14
623,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62335,CPRD_product_code,Fluoxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62688,CPRD_product_code,Duloxetine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62692,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62693,CPRD_product_code,Sertraline hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
62734,CPRD_product_code,Venlafaxine hydrochloride,drug,942 - res178: SSRIs and SNRIs,2021-03-14
