medcodeid,observations,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,depression,observations_2024_06,originalreadcode_2024_06,cleansedreadcode_2024_06,snomedctconceptid_2024_06,snomedctdescriptionid_2024_06,term_2024_06,depression_2024_06,JKQ_2024_06
"142521000006110",610,"E1125","E112500","70747007","117520015","Major depression single episode, in partial remission",1,548,"E1125","E112500","70747007","117520015","Major depression single episode, in partial remission",1,1
"8214741000006117",45399,"^ESCTDE821474","","711451000000102","1555921000000113","Depression monitoring invitation",1,31140,"^ESCTDE821474","","711451000000102","1555921000000113","Depression monitoring invitation",1,1
"406881000000111",70801,"9Ov","9Ov..00","713831000000108","1565071000000118","Depression monitoring administration",1,52140,"9Ov","9Ov..00","713831000000108","1565071000000118","Depression monitoring administration",1,1
"408601000000116",32535,"9Ov4","9Ov4.00","716421000000103","1568971000000112","Depression monitoring telephone invitation",1,26761,"9Ov4","9Ov4.00","716421000000103","1568971000000112","Depression monitoring telephone invitation",1,1
"408541000000117",30617,"9Ov1","9Ov1.00","716681000000100","1569231000000114","Depression monitoring second letter",1,28030,"9Ov1","9Ov1.00","716681000000100","1569231000000114","Depression monitoring second letter",1,1
"408561000000116",12978,"9Ov2","9Ov2.00","716961000000102","1569511000000115","Depression monitoring third letter",1,12157,"9Ov2","9Ov2.00","716961000000102","1569511000000115","Depression monitoring third letter",1,1
"408521000000112",127271,"9Ov0","9Ov0.00","717211000000107","1569751000000114","Depression monitoring first letter",1,120389,"9Ov0","9Ov0.00","717211000000107","1569751000000114","Depression monitoring first letter",1,1
"408581000000113",9354,"9Ov3","9Ov3.00","717261000000109","1569801000000119","Depression monitoring verbal invitation",1,8430,"9Ov3","9Ov3.00","717261000000109","1569801000000119","Depression monitoring verbal invitation",1,1
"7788661000006119",124,"^ESCTMO778866","","719593009","3317073015","Moderately severe depression",1,87,"^ESCTMO778866","","719593009","3317073015","Moderately severe depression",1,1
"7803711000006118",191,"^ESCTMO780371","","720453001","3320815018","Moderately severe major depression single episode",1,138,"^ESCTMO780371","","720453001","3320815018","Moderately severe major depression single episode",1,1
"1715191000006112",19836,"Eu328","Eu32800","73867007","122670017","Severe major depression with psychotic features",1,16621,"Eu328","Eu32800","73867007","122670017","Severe major depression with psychotic features",1,1
"379771000006116",8718,"Eu333-1","Eu33311","73867007","122670017","[X]Endogenous depression with psychotic symptoms",1,8595,"Eu333-1","Eu33311","73867007","122670017","[X]Endogenous depression with psychotic symptoms",1,1
"1715781000006110",7172,"Eu327","Eu32700","75084000","124707013","Severe major depression without psychotic features",1,6322,"Eu327","Eu32700","75084000","124707013","Severe major depression without psychotic features",1,1
"8232571000006118",1965,"^ESCTSI823257","","755321000000106","1662041000000111","Single major depressive episode, severe, with psychosis, psychosis in remission",1,1590,"^ESCTSI823257","","755321000000106","1662041000000111","Single major depressive episode, severe, with psychosis, psychosis in remission",1,1
"1755901000006112",2315,"Eu329","Eu32900","755321000000106","1667601000000117","[X]Single major depressive episode, severe, with psychosis, psychosis in remission",1,2203,"Eu329","Eu32900","755321000000106","1667601000000117","[X]Single major depressive episode, severe, with psychosis, psychosis in remission",1,1
"8232591000006117",1273,"^ESCTRE823259","","755331000000108","1662061000000112","Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",1,1024,"^ESCTRE823259","","755331000000108","1662061000000112","Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",1,1
"1755911000006110",3142,"Eu32A","Eu32A00","755331000000108","1667611000000115","[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",1,2972,"Eu32A","Eu32A00","755331000000108","1667611000000115","[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",1,1
"3743451000006110",577,"^ESCTSE374345","","76441001","126947013","Severe major depression, single episode, without psychotic features",1,415,"^ESCTSE374345","","76441001","126947013","Severe major depression, single episode, without psychotic features",1,1
